brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price,performance_c,cam_c,size_c,battery_c
Asus,ZenFone 3S Max,5000,5.2,Yes,720,1280,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,179.99,6,4,4,8
Samsung,Galaxy C7 Pro,3300,5.7,Yes,1080,1920,1,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99,1,2,5,6
HTC,U Play,2500,5.2,Yes,1080,1920,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,186.0,5,5,4,4
HTC,U Ultra,3000,5.7,Yes,1440,2560,4,4000,64.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,655.98,3,3,5,5
Asus,ZenFone AR,3300,5.7,Yes,1440,2560,4,8000,128.0,23.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,599.99,4,7,5,6
Xiaomi,Redmi 4A,3120,5.0,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,3,3,4,5
Xiaomi,Redmi 4,4100,5.0,Yes,720,1280,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99,6,4,4,7
Nubia,Z11 mini S,3000,5.2,Yes,1080,1920,8,4000,64.0,23.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99,5,5,4,5
Lenovo,Z2 Plus,3500,5.0,Yes,1080,1920,4,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,137.99,3,3,4,6
LG,V20,3200,5.7,Yes,1440,2560,4,4000,64.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,323.99,3,3,5,5
Lenovo,K6 Power,4000,5.0,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,102.0,6,4,4,7
Sony,Xperia XZ,2900,5.2,Yes,1080,1920,4,3000,64.0,23.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.99,3,3,4,5
Samsung,Galaxy J7 Prime,3300,5.5,Yes,1080,1920,8,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.94,6,4,5,6
Motorola,Moto Z Play,3510,5.5,Yes,1080,1920,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.88,6,4,5,6
Xiaomi,Redmi Note 4,4100,5.5,Yes,1080,1920,8,2000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.88,6,4,5,7
Xiaomi,Redmi 3S Prime,4100,5.0,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,96.0,6,4,4,7
Motorola,Moto Z,2600,5.5,Yes,1440,2560,4,4000,64.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.99,3,3,5,4
Asus,ZenFone 3 (ZE552KL),3000,5.5,Yes,1080,1920,8,4000,64.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99,5,5,5,5
Smartron,t.phone,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,4.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.88,5,5,5,5
Motorola,Moto G4 Plus,3000,5.5,Yes,1080,1920,8,2000,16.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99,6,4,5,5
Coolpad,Max,2800,5.5,Yes,1080,1920,8,4000,64.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.99,5,5,5,5
Xiaomi,Mi Max,4850,6.44,Yes,1080,1920,6,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.88,6,4,7,8
Lenovo,Zuk Z1,4100,5.5,Yes,1080,1920,4,3000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.99,3,3,5,7
LeEco,Le 2,3000,5.5,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,6,4,5,5
LeEco,Le Max 2,3100,5.7,Yes,1440,2560,4,4000,32.0,21.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,93.48,3,3,5,5
Huawei,P9,3000,5.2,Yes,1080,1920,8,3000,32.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,479.99,6,4,4,5
Apple,iPhone SE,1624,4.0,Yes,640,1136,1,2000,16.0,12.0,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,203.99,1,2,2,1
LG,G5,2800,5.3,Yes,1440,2560,4,4000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99,3,3,5,5
Oppo,F1,2500,5.0,Yes,720,1280,8,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99,6,4,4,4
Samsung,Galaxy A5 (2016),2900,5.2,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.88,6,4,4,5
Xiaomi,Redmi Note 3,4050,5.5,Yes,1080,1920,6,2000,16.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,82.79,3,3,5,7
HTC,One A9,2150,5.0,Yes,1080,1920,8,3000,32.0,13.0,4.0,Android,Yes,Yes,Yes,1,Yes,Yes,361.79,6,4,4,3
BlackBerry,Priv,3410,5.4,Yes,1440,2560,6,3000,32.0,18.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,239.99,6,4,5,6
LG,Google Nexus 5X,2700,5.2,Yes,1080,1920,6,2000,16.0,12.3,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,311.88,3,3,4,4
Apple,iPhone 6s,1715,4.7,Yes,750,1334,2,2000,16.0,12.0,5.0,iOS,Yes,Yes,Yes,1,Yes,Yes,275.99,1,2,3,1
Lenovo,Vibe P1,4900,5.5,Yes,1080,1920,8,2000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.99,6,4,5,8
Lenovo,Vibe S1,2420,5.0,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.88,6,4,4,3
Samsung,Galaxy S6 Edge+,3000,5.7,Yes,1440,2560,8,4000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,215.99,5,5,5,5
Samsung,Galaxy Note 5,3000,5.7,Yes,1440,2560,8,4000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,179.99,5,5,5,5
Motorola,Moto X Play,3630,5.5,Yes,1080,1920,8,2000,16.0,21.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.88,6,4,5,6
Motorola,Moto G (Gen 3),2470,5.0,Yes,720,1280,4,1000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99,2,1,4,4
Honor,7,3100,5.2,Yes,1080,1920,8,3000,16.0,20.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,191.99,6,4,4,5
Asus,ZenFone Selfie,3000,5.5,Yes,1080,1920,8,2000,16.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99,6,4,5,5
LG,G4,3000,5.5,Yes,1440,2560,6,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,159.59,6,4,5,5
Xiaomi,Mi 4i,3120,5.0,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.99,6,4,4,5
Lenovo,K3 Note,2900,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99,6,4,5,5
Motorola,Moto Turbo,3900,5.2,Yes,1440,2560,4,3000,64.0,21.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,383.99,3,3,4,7
Gionee,Elife S7,2700,5.2,Yes,1080,1920,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.99,6,4,4,4
Lenovo,Vibe Shot,2900,5.0,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,117.59,6,4,4,5
Samsung,Galaxy S6 Edge,2600,5.1,Yes,1440,2560,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,311.99,6,4,4,4
Honor,6 Plus,3600,5.5,Yes,1080,1920,8,3000,32.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,317.99,6,4,5,6
HTC,Desire 820s,2600,5.5,Yes,720,1280,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,306.0,6,4,5,4
HTC,One (M8 Eye),2600,5.0,Yes,1080,1920,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,342.0,3,3,4,4
Motorola,Google Nexus 6,3220,5.96,Yes,1440,2560,4,3000,32.0,13.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,161.88,3,3,6,6
HTC,Desire Eye,2400,5.2,Yes,1080,1920,4,2000,16.0,13.0,13.0,Android,Yes,Yes,Yes,1,Yes,Yes,131.88,3,3,4,3
BlackBerry,Passport,3450,4.5,Yes,1440,1440,4,3000,32.0,13.0,2.0,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,191.99,3,3,3,6
Apple,iPhone 6 Plus,2915,5.5,Yes,1080,1920,1,1000,16.0,8.0,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,287.99,1,2,5,5
Apple,iPhone 6,1810,4.7,Yes,750,1334,2,1000,16.0,8.0,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,191.99,1,2,3,2
Motorola,Moto X (Gen 2),2300,5.2,Yes,1080,1920,4,2000,16.0,13.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,287.99,3,3,4,3
Motorola,Moto G (Gen 2),2070,5.0,Yes,720,1280,4,1000,16.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,162.0,2,1,4,2
Sony,Xperia Z3 Compact,2600,4.6,Yes,720,1280,4,2000,16.0,20.7,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,467.88,3,3,3,4
Samsung,Galaxy Note 4,3220,5.7,Yes,1440,2560,4,3000,32.0,16.0,3.7,Android,Yes,Yes,Yes,1,Yes,Yes,334.8,3,3,5,6
Samsung,Galaxy Note Edge,3000,5.6,Yes,1600,2560,4,3000,32.0,16.0,3.7,Android,Yes,Yes,Yes,1,Yes,Yes,359.4,3,3,5,5
Xiaomi,Mi 4,3080,5.0,Yes,1080,1920,4,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,No,95.84,3,3,4,5
Lenovo,Vibe Z2 Pro,4000,6.0,Yes,1440,2560,4,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,3,3,6,7
OnePlus,One,3100,5.5,Yes,1080,1920,4,3000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,1,Yes,Yes,263.99,3,3,5,5
Samsung,Galaxy S5,2800,5.1,Yes,1080,1920,8,2000,16.0,16.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,407.99,6,4,4,5
Sony,Xperia Z2,3200,5.2,Yes,1080,1920,4,3000,16.0,20.7,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,431.88,3,3,4,5
Sony,Xperia Z1 Compact,2300,4.3,Yes,720,1280,4,2000,16.0,20.7,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,143.99,3,3,3,3
Gionee,Elife E7,2500,5.5,Yes,1080,1920,4,2000,16.0,16.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,44.39,3,3,5,4
Samsung,Galaxy Grand 2,2600,5.2,Yes,720,1280,4,1000,8.0,8.0,1.9,Android,Yes,Yes,Yes,2,Yes,Yes,191.99,2,1,4,4
Motorola,Moto G,2070,4.5,Yes,720,1280,4,1000,8.0,5.0,1.3,Android,Yes,Yes,Yes,2,Yes,No,119.99,2,1,3,2
LG,Google Nexus 5,2300,4.95,Yes,1080,1920,4,2000,16.0,8.0,1.3,Android,Yes,Yes,Yes,1,Yes,Yes,144.0,3,3,4,3
Nokia,Lumia 1520,3400,6.0,Yes,1080,1920,4,2000,32.0,20.0,1.2,Windows,Yes,Yes,Yes,1,Yes,Yes,419.88,3,3,6,6
Apple,iPhone 5c,1507,4.0,Yes,640,1136,2,1000,8.0,8.0,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,101.99,1,2,2,1
Xiaomi,Mi 3,3050,5.0,Yes,1080,1920,4,2000,16.0,13.0,2.0,Android,Yes,Yes,Yes,1,Yes,No,167.99,3,3,4,5
Samsung,Galaxy Note 3,3200,5.7,Yes,1080,1920,8,3000,32.0,13.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,607.8,6,4,5,5
Sony,Xperia Z1,3000,5.0,Yes,1080,1920,1,2000,16.0,20.7,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,680.39,1,2,4,5
LG,G2,3000,5.2,Yes,1080,1920,4,2000,16.0,13.0,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,269.99,3,3,4,5
Motorola,Moto X,2200,4.7,Yes,720,1280,2,2000,16.0,10.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,180.0,1,2,3,3
Sony,Xperia Z,2330,5.0,Yes,1080,1920,4,2000,16.0,13.1,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,389.88,3,3,4,3
Samsung,Galaxy S III,2100,4.8,Yes,720,1280,4,1000,16.0,8.0,1.9,Android,Yes,Yes,Yes,1,Yes,Yes,71.99,2,1,4,2
Samsung,Galaxy S4,2600,5.0,Yes,1080,1920,8,2000,16.0,13.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,694.98,6,4,4,4
Nokia,Lumia 920,2000,4.5,Yes,768,1280,2,1000,32.0,8.7,1.3,Windows,Yes,Yes,Yes,1,Yes,No,107.99,1,2,3,2
Oppo,F15,4000,6.4,Yes,1080,2400,8,8000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,224.28,4,7,7,7
Vivo,S1 Pro,4500,6.38,Yes,1080,2340,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,223.19,4,7,7,8
Motorola,Moto G8 Plus,4000,6.3,Yes,1080,2280,8,4000,64.0,48.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.99,5,5,7,7
Motorola,One Macro,4000,6.2,Yes,720,1520,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99,5,5,7,7
Vivo,U10,5000,6.35,Yes,720,1544,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.88,6,4,7,8
Xiaomi,Redmi 8A,5000,6.22,Yes,720,1520,8,2000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,77.99,6,4,7,8
Oppo,A9 2020,5000,6.5,Yes,720,1600,8,4000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,176.76,5,5,8,8
Samsung,Galaxy M10s,4000,6.4,Yes,720,1520,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.99,6,4,7,7
Infinix,Hot 8,5000,6.52,Yes,720,1600,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,No,No,96.0,5,5,8,8
Xiaomi,Redmi Note 8,4000,6.3,Yes,1080,2280,8,3000,32.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,110.34,6,4,7,7
Xiaomi,Redmi 8,5000,6.22,Yes,720,1520,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99,5,5,7,8
Realme,3i,4230,6.2,Yes,720,1520,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,6,4,7,7
Infinix,Hot 7,4000,6.19,Yes,720,1500,8,4000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.88,5,5,7,7
Honor,9X,4000,6.59,Yes,1080,2340,8,4000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99,5,5,8,7
Motorola,One Action,3500,6.3,Yes,1080,2520,8,4000,128.0,12.0,12.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99,5,5,7,6
LG,W30,4000,6.26,Yes,720,1520,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.99,6,4,7,7
Infinix,Hot 7 Pro,4000,6.19,Yes,720,1500,8,6000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99,5,6,7,7
Xiaomi,Redmi 7A,4000,5.45,Yes,720,1440,8,2000,16.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.99,6,4,5,7
Infinix,S4,4000,6.21,Yes,720,1520,8,3000,32.0,13.0,32.0,Android,Yes,Yes,Yes,2,No,No,95.99,6,4,7,7
Vivo,Y17,5000,6.35,Yes,720,1544,8,4000,128.0,13.0,20.0,Android,Yes,Yes,Yes,2,No,No,137.88,5,5,7,8
Infinix,Smart 3 Plus,3500,6.21,Yes,720,1520,4,2000,32.0,13.0,8.0,Android,Yes,Yes,No,2,No,No,83.99,3,3,7,6
Oppo,A1k,4000,6.1,Yes,720,1560,8,2000,32.0,8.0,5.0,Android,Yes,Yes,No,2,No,No,80.04,6,4,6,7
Oppo,A5s,4230,6.2,Yes,1520,720,8,2000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.22,6,4,7,7
Xiaomi,Redmi Y3,4000,6.26,Yes,720,1520,8,3000,32.0,12.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99,6,4,7,7
Realme,C2,4000,6.1,Yes,720,1560,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99,6,4,6,7
Honor,20i,3400,6.21,Yes,1080,2340,8,4000,128.0,24.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99,5,5,7,6
Vivo,S1,4500,6.38,Yes,1080,2340,8,4000,128.0,16.0,32.0,Android,Yes,Yes,Yes,2,No,No,179.75,5,5,7,8
Realme,3,4230,6.2,Yes,720,1520,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.88,6,4,7,7
Vivo,V15,4000,6.53,Yes,1080,2340,8,6000,64.0,12.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.88,5,6,8,7
Xiaomi,Redmi Go,3000,5.0,Yes,720,1280,4,1000,8.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,53.99,2,1,4,5
Meizu,M16th,3010,6.0,Yes,1080,2160,8,8000,128.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.88,4,7,6,5
Asus,ZenFone Max M2,4000,6.26,Yes,720,1520,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.99,6,4,7,7
Infinix,Note 5 Stylus,4000,5.93,Yes,1080,2160,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,1,No,No,191.99,5,5,6,7
Infinix,Hot S3X,4000,6.2,Yes,720,1500,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99,6,4,7,7
Asus,ZenFone Lite L1 (ZA551KL),3000,5.45,Yes,720,1440,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,6,4,5,5
Asus,ZenFone Max M1 (ZB556KL),4000,5.45,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,71.99,6,4,5,7
Lenovo,K9,3000,5.7,Yes,720,1440,8,3000,32.0,13.0,13.0,Android,Yes,Yes,No,1,No,No,70.79,6,4,5,5
Nokia,3.1 Plus,3500,6.0,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,82.2,6,4,6,6
Honor,8C,4000,6.26,Yes,720,1520,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99,5,5,7,7
Panasonic,Eluga X1 Pro,3000,6.18,Yes,1080,2246,8,6000,128.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99,4,6,7,5
Realme,C1,4230,6.2,Yes,720,1520,8,2000,16.0,13.0,5.0,Android,Yes,Yes,No,1,No,No,95.88,6,4,7,7
BlackBerry,KEY2 LE,3000,4.5,Yes,1080,1620,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,275.88,5,5,3,5
Realme,2,4230,6.2,Yes,720,1520,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.68,6,4,7,7
Infinix,Note 5,4500,5.99,Yes,1080,2160,8,3000,32.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,70.2,6,4,6,8
Oppo,F9 Pro,3500,6.3,Yes,1080,2340,8,6000,64.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.88,5,6,7,6
Oppo,F9,3500,6.3,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.93,5,5,7,6
Honor,9N,3000,5.84,Yes,1080,2280,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.99,6,4,6,5
Huawei,Nova 3i,3340,6.3,Yes,1080,2340,8,4000,128.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,263.99,5,5,7,6
Huawei,Nova 3,3750,6.3,Yes,1080,2340,8,6000,128.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.99,4,6,7,7
Xiaomi,Redmi 6 Pro,4000,5.84,Yes,1080,2280,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,99.48,6,4,6,7
Xiaomi,Redmi 6A,3000,5.45,Yes,720,1440,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,68.39,3,3,5,5
Xiaomi,Redmi Y2,3080,5.99,Yes,720,1440,8,3000,32.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99,6,4,6,5
Tecno,Camon iClick,3750,6.0,Yes,720,1440,8,4000,64.0,16.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.04,5,5,6,7
Xiaomi,Redmi 6,3000,5.45,Yes,720,1440,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,86.16,6,4,5,5
Samsung,Galaxy J8,3500,6.0,Yes,720,1440,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,185.99,5,5,6,6
Samsung,Galaxy J6,3000,5.6,Yes,720,1480,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,113.88,6,4,5,5
Samsung,Galaxy A6+,3500,6.0,Yes,1080,2220,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,1,No,No,191.99,5,5,6,6
Motorola,Moto E5 Plus,5000,6.0,Yes,720,1440,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,112.79,6,4,6,8
Nubia,Red Magic,3800,6.0,Yes,1080,2160,8,8000,128.0,24.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,298.32,4,7,6,7
InFocus,Vision 3 Pro,4000,5.7,Yes,720,1440,8,4000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.88,5,5,5,7
Itel,S42,3000,5.65,Yes,720,1440,4,3000,16.0,13.0,13.0,Android,Yes,Yes,No,2,Yes,Yes,101.76,3,3,5,5
Huawei,P20 Lite,3000,5.84,Yes,1080,2280,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,153.6,5,5,6,5
Vivo,V9,3260,6.3,Yes,1080,2280,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,164.88,5,5,7,6
Motorola,Moto G6 Play,4000,5.7,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,No,Yes,96.59,6,4,5,7
Honor,7C,3000,5.99,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,93.59,6,4,6,5
Motorola,Moto G6,3000,5.7,Yes,1080,2160,8,3000,32.0,12.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,125.99,6,4,5,5
Smartron,t.phone P,5000,5.2,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,126.0,6,4,4,8
Oppo,A83,3180,5.7,Yes,720,1440,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,81.59,6,4,5,5
Honor,9 Lite,3000,5.65,Yes,1080,2160,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.15,6,4,5,5
10.or,D,3500,5.2,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,3,3,4,6
InFocus,Vision 3,4000,5.7,Yes,720,1440,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,82.2,3,3,5,7
Samsung,Galaxy A8+ (2018),3500,6.0,Yes,1080,2220,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,1,No,No,202.8,5,6,6,6
Gionee,S11 Lite,3030,5.7,Yes,720,1440,8,4000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,75.83,5,5,5,5
Vivo,V7,3000,5.7,Yes,720,1440,8,4000,32.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.88,5,5,5,5
Xiaomi,Redmi Y1,3080,5.5,Yes,720,1280,8,2000,16.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.88,6,4,5,5
Xiaomi,Redmi 5A,3000,5.0,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,86.39,3,3,4,5
Honor,7X,3340,5.93,Yes,1080,2160,8,4000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,152.66,5,5,6,6
Honor,Holly 4,3020,5.0,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.99,6,4,4,5
Gionee,M7 Power,5000,6.0,Yes,720,1440,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.68,5,5,6,8
Vivo,V7+,3225,5.99,Yes,720,1440,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.88,5,5,6,6
Asus,ZenFone 4 Selfie Pro,3000,5.5,Yes,1080,1920,8,4000,64.0,16.0,12.0,Android,Yes,Yes,Yes,2,Yes,Yes,311.99,5,5,5,5
LG,Q6,3000,5.5,Yes,1080,2160,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.38,6,4,5,5
Oppo,F3,3200,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.88,5,5,5,5
Smartron,srt.phone,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99,5,5,5,5
