name,brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price,price_ranges,screen_size_range,battery_capacity_range,rear_camera_range
Xiaomi Redmi 6A,Xiaomi,Redmi 6A,3000,5.45,Yes,720,1440,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,68.39,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Xiaomi Redmi Y2,Xiaomi,Redmi Y2,3080,5.99,Yes,720,1440,8,3000,32.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Tecno Camon iClick,Tecno,Camon iClick,3750,6.0,Yes,720,1440,8,4000,64.0,16.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.04,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Redmi 6,Xiaomi,Redmi 6,3000,5.45,Yes,720,1440,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,86.16,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Samsung Galaxy J8,Samsung,Galaxy J8,3500,6.0,Yes,720,1440,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,185.99,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Samsung Galaxy J6,Samsung,Galaxy J6,3000,5.6,Yes,720,1480,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,113.88,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Samsung Galaxy A6+,Samsung,Galaxy A6+,3500,6.0,Yes,1080,2220,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,1,No,No,191.99,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Moto E5 Plus,Motorola,Moto E5 Plus,5000,6.0,Yes,720,1440,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,112.79,<200€,5.0-6.0(inches),4500-6000(mah),0-24(mp)
Nubia Red Magic,Nubia,Red Magic,3800,6.0,Yes,1080,2160,8,8000,128.0,24.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,298.32,200-400€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
InFocus Vision 3 Pro,InFocus,Vision 3 Pro,4000,5.7,Yes,720,1440,8,4000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.88,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Itel S42,Itel,S42,3000,5.65,Yes,720,1440,4,3000,16.0,13.0,13.0,Android,Yes,Yes,No,2,Yes,Yes,101.76,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Huawei P20 Lite,Huawei,P20 Lite,3000,5.84,Yes,1080,2280,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,153.6,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Vivo V9,Vivo,V9,3260,6.3,Yes,1080,2280,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,164.88,<200€,6+(inches),3000-3500(mah),0-24(mp)
Moto G6 Play,Motorola,Moto G6 Play,4000,5.7,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,No,Yes,96.59,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Honor 7C,Honor,7C,3000,5.99,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,93.59,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Moto G6,Motorola,Moto G6,3000,5.7,Yes,1080,2160,8,3000,32.0,12.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,125.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Smartron t.phone P,Smartron,t.phone P,5000,5.2,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,126.0,<200€,5.0-6.0(inches),4500-6000(mah),0-24(mp)
Oppo A83,Oppo,A83,3180,5.7,Yes,720,1440,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,81.59,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Honor 9 Lite,Honor,9 Lite,3000,5.65,Yes,1080,2160,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.15,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
10.or D,10.or,D,3500,5.2,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
InFocus Vision 3,InFocus,Vision 3,4000,5.7,Yes,720,1440,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,82.2,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Samsung Galaxy A8+ (2018),Samsung,Galaxy A8+ (2018),3500,6.0,Yes,1080,2220,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,1,No,No,202.8,200-400€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Gionee S11 Lite,Gionee,S11 Lite,3030,5.7,Yes,720,1440,8,4000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,75.83,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Vivo V7,Vivo,V7,3000,5.7,Yes,720,1440,8,4000,32.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.88,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Redmi Y1,Xiaomi,Redmi Y1,3080,5.5,Yes,720,1280,8,2000,16.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.88,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Redmi 5A,Xiaomi,Redmi 5A,3000,5.0,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,86.39,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Honor 7X,Honor,7X,3340,5.93,Yes,1080,2160,8,4000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,152.66,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Honor Holly 4,Honor,Holly 4,3020,5.0,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.99,<200€,4.0-5.0(inches),3000-3500(mah),0-24(mp)
Gionee M7 Power,Gionee,M7 Power,5000,6.0,Yes,720,1440,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.68,<200€,5.0-6.0(inches),4500-6000(mah),0-24(mp)
Vivo V7+,Vivo,V7+,3225,5.99,Yes,720,1440,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.88,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Asus ZenFone 4 Selfie Pro,Asus,ZenFone 4 Selfie Pro,3000,5.5,Yes,1080,1920,8,4000,64.0,16.0,12.0,Android,Yes,Yes,Yes,2,Yes,Yes,311.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
LG Q6,LG,Q6,3000,5.5,Yes,1080,2160,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.38,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Oppo F3,Oppo,F3,3200,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.88,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Smartron srt.phone,Smartron,srt.phone,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Vivo V5s,Vivo,V5s,3000,5.5,Yes,720,1280,8,4000,64.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.88,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Micromax Evok Power,Micromax,Evok Power,4000,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,No,2,No,Yes,65.99,<200€,4.0-5.0(inches),3500-4500(mah),0-24(mp)
Lava Z25,Lava,Z25,3020,5.5,Yes,720,1280,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.0,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Nubia M2,Nubia,M2,3630,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.88,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Cat S60,Cat,S60,3800,4.7,Yes,720,1280,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.99,400-600€,4.0-5.0(inches),3500-4500(mah),0-24(mp)
Coolpad Note 5 Lite,Coolpad,Note 5 Lite,2500,5.0,Yes,720,1280,4,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,51.48,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Gionee A1,Gionee,A1,4010,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Sony Xperia XA1 Ultra,Sony,Xperia XA1 Ultra,2700,6.0,Yes,1080,1920,8,4000,64.0,23.0,16.0,Android,Yes,Yes,Yes,2,No,Yes,71.93,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Sony Xperia XZs,Sony,Xperia XZs,2900,5.2,Yes,1080,1920,4,4000,32.0,19.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.88,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Gionee A1 Plus,Gionee,A1 Plus,4550,6.0,Yes,1080,1920,8,4000,64.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,11.93,<200€,5.0-6.0(inches),4500-6000(mah),0-24(mp)
Motorola Moto G5,Motorola,Moto G5,2800,5.0,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.4,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Honor 8 Lite,Honor,8 Lite,3000,5.2,Yes,1080,1920,8,4000,64.0,12.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,179.2,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Vivo V5 Plus,Vivo,V5 Plus,3055,5.5,Yes,1080,1920,8,4000,64.0,16.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,150.0,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Nokia 6,Nokia,6,3000,5.5,Yes,1080,1920,8,2000,16.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.0,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Samsung Galaxy A7 (2017),Samsung,Galaxy A7 (2017),3600,5.7,Yes,1080,1920,8,3000,32.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,310.8,200-400€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Samsung Galaxy A5 (2017),Samsung,Galaxy A5 (2017),3000,5.2,Yes,1080,1920,8,3000,32.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,227.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Coolpad Note 3S,Coolpad,Note 3S,2500,5.5,Yes,720,1080,8,3000,32.0,13.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,107.88,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Oppo A57,Oppo,A57,2900,5.2,Yes,720,1280,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.0,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Vivo V5,Vivo,V5,3000,5.5,Yes,720,1280,8,4000,32.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,198.49,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Asus ZenFone 3 Max (ZC553KL),Asus,ZenFone 3 Max (ZC553KL),4100,5.5,Yes,1080,1920,8,2000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,103.19,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Lyf F1,Lyf,F1,3200,5.5,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,77.99,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
InFocus Epic 1,InFocus,Epic 1,3000,5.5,Yes,1080,1920,10,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Honor 6X,Honor,6X,3340,5.5,Yes,1080,1920,8,3000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Intex Aqua S7,Intex,Aqua S7,3200,5.0,Yes,720,1280,1,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.99,<200€,4.0-5.0(inches),3000-3500(mah),0-24(mp)
Lenovo P2,Lenovo,P2,5100,5.5,Yes,1080,1920,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99,200-400€,5.0-6.0(inches),4500-6000(mah),0-24(mp)
Lenovo K6 Note,Lenovo,K6 Note,4000,5.5,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.68,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Gionee S6s,Gionee,S6s,3150,5.5,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.0,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Coolpad Cool 1 Dual,Coolpad,Cool 1 Dual,4000,5.5,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,151.67,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Oppo F1s,Oppo,F1s,3075,5.5,Yes,720,1280,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.88,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
BlackBerry DTEK50,BlackBerry,DTEK50,2610,5.2,Yes,1080,1920,8,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,143.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Asus ZenFone 3 Laser,Asus,ZenFone 3 Laser,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Lenovo Phab 2 Plus,Lenovo,Phab 2 Plus,4050,6.4,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,119.99,<200€,6+(inches),3500-4500(mah),0-24(mp)
Yu Yunicorn,Yu,nicorn,4000,5.5,Yes,1080,1920,8,4000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Coolpad Note 3 Plus,Coolpad,Note 3 Plus,3000,5.5,Yes,1080,1920,8,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,74.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
LeEco Le 1s Eco,LeEco,Le 1s Eco,3000,5.5,Yes,1080,1920,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.88,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Vivo V3Max,Vivo,V3Max,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.75,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Oppo F1 Plus,Oppo,F1 Plus,2850,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.88,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
InFocus Bingo 50,InFocus,Bingo 50,2500,5.0,Yes,720,1280,4,3000,16.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.88,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Lenovo Vibe K5,Lenovo,Vibe K5,2750,5.0,Yes,720,1280,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Lenovo Vibe K5 Plus,Lenovo,Vibe K5 Plus,2750,5.0,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Xolo Era 4K,Xolo,Era 4K,4000,5.0,Yes,720,1280,4,2000,8.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,<200€,4.0-5.0(inches),3500-4500(mah),0-24(mp)
LG X screen,LG,X screen,2300,4.93,Yes,720,1280,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,95.88,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Coolpad Note 3 Lite,Coolpad,Note 3 Lite,2500,5.0,Yes,720,1280,4,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Lenovo Vibe K4 Note,Lenovo,Vibe K4 Note,3300,5.5,Yes,1080,1920,8,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.88,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Gionee Marathon M5 Plus,Gionee,Marathon M5 Plus,5020,6.0,Yes,1080,1920,8,3000,64.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,286.8,200-400€,5.0-6.0(inches),4500-6000(mah),0-24(mp)
Intex Aqua GenX,Intex,Aqua GenX,2850,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,115.56,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Yu Yutopia,Yu,topia,3000,5.2,Yes,1440,2560,8,4000,32.0,21.0,8.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,359.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
InFocus M680,InFocus,M680,2600,5.5,Yes,1080,1920,8,2000,16.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.88,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Gionee Marathon M5 Lite,Gionee,Marathon M5 Lite,4000,5.0,Yes,720,1280,4,3000,32.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.99,<200€,4.0-5.0(inches),3500-4500(mah),0-24(mp)
Gionee S6,Gionee,S6,3150,5.5,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.98,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Motorola Moto G Turbo Edition,Motorola,Moto G Turbo Edition,2470,5.0,Yes,720,1280,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99,200-400€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Micromax Canvas 5,Micromax,Canvas 5,2900,5.2,Yes,1080,1920,8,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,81.6,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Honor 5X,Honor,5X,3000,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,88.8,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Coolpad Note 3,Coolpad,Note 3,3000,5.5,Yes,720,1280,8,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,113.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
HTC One E9s Dual SIM,HTC,One E9s Dual SIM,2600,5.5,Yes,720,1280,8,2000,16.0,13.0,4.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Yu Yunique,Yu,nique,2000,4.7,Yes,720,1280,4,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,56.34,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Sony Xperia Z5 Dual,Sony,Xperia Z5 Dual,2900,5.2,Yes,1080,1920,8,3000,32.0,23.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,551.99,400-600€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Acer Liquid Z630s,Acer,Liquid Z630s,4000,5.5,Yes,720,1280,8,3000,32.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,86.28,<200€,5.0-6.0(inches),3500-4500(mah),0-24(mp)
Xiaomi Redmi 2 Prime,Xiaomi,Redmi 2 Prime,2200,4.7,Yes,720,1280,4,2000,16.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Asus ZenFone Max,Asus,ZenFone Max,5000,5.5,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,<200€,5.0-6.0(inches),4500-6000(mah),0-24(mp)
Asus ZenFone 2 Deluxe,Asus,ZenFone 2 Deluxe,3000,5.5,Yes,1080,1920,4,4000,64.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Gionee Marathon M4,Gionee,Marathon M4,5000,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,52.8,<200€,4.0-5.0(inches),4500-6000(mah),0-24(mp)
Asus ZenFone 2 Laser (ZE550KL),Asus,ZenFone 2 Laser (ZE550KL),3000,5.5,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Motorola Moto X Style,Motorola,Moto X Style,3000,5.7,Yes,1440,2560,6,3000,16.0,21.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,251.99,200-400€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
InFocus M812,InFocus,M812,2900,5.5,Yes,1080,1920,4,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,94.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Xolo Black,Xolo,Black,3200,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.23,<200€,5.0-6.0(inches),3000-3500(mah),0-24(mp)
Phicomm Passion 660,Phicomm,Passion 660,2300,5.0,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,38.86,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Coolpad Dazen X7,Coolpad,Dazen X7,2700,5.2,Yes,1080,1920,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Yu Yuphoria,Yu,phoria,2230,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,107.99,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Honor 4C,Honor,4C,2550,5.0,Yes,720,1280,8,2000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,107.99,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
Lenovo A6000 Plus,Lenovo,A6000 Plus,2300,5.0,Yes,720,1280,4,2000,16.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,76.79,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Lenovo A7000,Lenovo,A7000,2900,5.5,Yes,720,1280,8,2000,8.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,79.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Motorola Moto E (Gen 2),Motorola,Moto E (Gen 2),2390,4.5,Yes,540,960,4,1000,8.0,5.0,0.3,Android,Yes,Yes,Yes,1,Yes,No,59.99,<200€,4.0-5.0(inches),2300-3000(mah),0-24(mp)
HTC Desire 526G+ Dual SIM,HTC,Desire 526G+ Dual SIM,2000,4.7,Yes,540,960,8,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,108.0,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Lenovo A6000,Lenovo,A6000,2300,5.0,Yes,720,1280,4,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,60.0,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Asus ZenFone Zoom,Asus,ZenFone Zoom,3000,5.5,Yes,1080,1920,4,4000,64.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,191.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Xiaomi Redmi 2,Xiaomi,Redmi 2,2200,4.7,Yes,720,1280,4,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,64.79,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Lava Iris Fuel 60,Lava,Iris Fuel 60,4000,5.0,Yes,720,1280,4,1000,8.0,10.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,51.59,<200€,4.0-5.0(inches),3500-4500(mah),0-24(mp)
Vivo Y15,Vivo,Y15,1900,4.5,Yes,480,854,4,512,4.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,78.47,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Micromax Canvas Selfie,Micromax,Canvas Selfie,2300,4.7,Yes,720,1280,8,2000,16.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,No,166.74,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Honor 4X,Honor,4X,3000,5.5,Yes,720,1280,4,2000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Xolo Q2100,Xolo,Q2100,2800,5.5,Yes,720,1280,4,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,83.98,<200€,5.0-6.0(inches),2300-3000(mah),0-24(mp)
Micromax Canvas 4 Plus,Micromax,Canvas 4 Plus,2000,5.0,Yes,720,1280,8,1000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,65.88,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
Micromax Canvas A1,Micromax,Canvas A1,1700,4.5,Yes,480,854,4,1000,4.0,5.0,2.4,Android,Yes,Yes,Yes,2,Yes,No,57.54,<200€,4.0-5.0(inches),1010-2300(mah),0-24(mp)
