brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price
Smartron,t.phone,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,4.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.88
Motorola,Moto G4 Plus,3000,5.5,Yes,1080,1920,8,2000,16.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99
Coolpad,Max,2800,5.5,Yes,1080,1920,8,4000,64.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.99
Xiaomi,Mi Max,4850,6.44,Yes,1080,1920,6,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.88
Lenovo,Zuk Z1,4100,5.5,Yes,1080,1920,4,3000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.99
LeEco,Le 2,3000,5.5,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99
LeEco,Le Max 2,3100,5.7,Yes,1440,2560,4,4000,32.0,21.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,93.48
Huawei,P9,3000,5.2,Yes,1080,1920,8,3000,32.0,12.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,479.99
Apple,iPhone SE,1624,4.0,Yes,640,1136,1,2000,16.0,12.0,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,203.99
LG,G5,2800,5.3,Yes,1440,2560,4,4000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99
Oppo,F1,2500,5.0,Yes,720,1280,8,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99
Samsung,Galaxy A5 (2016),2900,5.2,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.88
Xiaomi,Redmi Note 3,4050,5.5,Yes,1080,1920,6,2000,16.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,82.79
HTC,One A9,2150,5.0,Yes,1080,1920,8,3000,32.0,13.0,4.0,Android,Yes,Yes,Yes,1,Yes,Yes,361.79
BlackBerry,Priv,3410,5.4,Yes,1440,2560,6,3000,32.0,18.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,239.99
LG,Google Nexus 5X,2700,5.2,Yes,1080,1920,6,2000,16.0,12.3,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,311.88
Apple,iPhone 6s,1715,4.7,Yes,750,1334,2,2000,16.0,12.0,5.0,iOS,Yes,Yes,Yes,1,Yes,Yes,275.99
Lenovo,Vibe P1,4900,5.5,Yes,1080,1920,8,2000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.99
Lenovo,Vibe S1,2420,5.0,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.88
Samsung,Galaxy S6 Edge+,3000,5.7,Yes,1440,2560,8,4000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,215.99
Samsung,Galaxy Note 5,3000,5.7,Yes,1440,2560,8,4000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,179.99
Motorola,Moto X Play,3630,5.5,Yes,1080,1920,8,2000,16.0,21.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.88
Motorola,Moto G (Gen 3),2470,5.0,Yes,720,1280,4,1000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99
Honor,7,3100,5.2,Yes,1080,1920,8,3000,16.0,20.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,191.99
Asus,ZenFone Selfie,3000,5.5,Yes,1080,1920,8,2000,16.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.99
LG,G4,3000,5.5,Yes,1440,2560,6,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,159.59
Xiaomi,Mi 4i,3120,5.0,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.99
Lenovo,K3 Note,2900,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99
Motorola,Moto Turbo,3900,5.2,Yes,1440,2560,4,3000,64.0,21.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,383.99
Gionee,Elife S7,2700,5.2,Yes,1080,1920,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.99
Lenovo,Vibe Shot,2900,5.0,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,117.59
Samsung,Galaxy S6 Edge,2600,5.1,Yes,1440,2560,8,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,311.99
Honor,6 Plus,3600,5.5,Yes,1080,1920,8,3000,32.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,317.99
HTC,Desire 820s,2600,5.5,Yes,720,1280,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,306.00
HTC,One (M8 Eye),2600,5.0,Yes,1080,1920,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,342.00
Motorola,Google Nexus 6,3220,5.96,Yes,1440,2560,4,3000,32.0,13.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,161.88
HTC,Desire Eye,2400,5.2,Yes,1080,1920,4,2000,16.0,13.0,13.0,Android,Yes,Yes,Yes,1,Yes,Yes,131.88
BlackBerry,Passport,3450,4.5,Yes,1440,1440,4,3000,32.0,13.0,2.0,BlackBerry,Yes,Yes,Yes,1,Yes,Yes,191.99
Apple,iPhone 6 Plus,2915,5.5,Yes,1080,1920,1,1000,16.0,8.0,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,287.99
Apple,iPhone 6,1810,4.7,Yes,750,1334,2,1000,16.0,8.0,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,191.99
Motorola,Moto X (Gen 2),2300,5.2,Yes,1080,1920,4,2000,16.0,13.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,287.99
Motorola,Moto G (Gen 2),2070,5.0,Yes,720,1280,4,1000,16.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,162.00
Sony,Xperia Z3 Compact,2600,4.6,Yes,720,1280,4,2000,16.0,20.7,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,467.88
Samsung,Galaxy Note 4,3220,5.7,Yes,1440,2560,4,3000,32.0,16.0,3.7,Android,Yes,Yes,Yes,1,Yes,Yes,334.80
Samsung,Galaxy Note Edge,3000,5.6,Yes,1600,2560,4,3000,32.0,16.0,3.7,Android,Yes,Yes,Yes,1,Yes,Yes,359.40
Xiaomi,Mi 4,3080,5.0,Yes,1080,1920,4,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,No,95.84
Lenovo,Vibe Z2 Pro,4000,6.0,Yes,1440,2560,4,3000,32.0,16.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99
OnePlus,One,3100,5.5,Yes,1080,1920,4,3000,16.0,13.0,5.0,Cyanogen,Yes,Yes,Yes,1,Yes,Yes,263.99
Samsung,Galaxy S5,2800,5.1,Yes,1080,1920,8,2000,16.0,16.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,407.99
Sony,Xperia Z2,3200,5.2,Yes,1080,1920,4,3000,16.0,20.7,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,431.88
Sony,Xperia Z1 Compact,2300,4.3,Yes,720,1280,4,2000,16.0,20.7,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,143.99
Gionee,Elife E7,2500,5.5,Yes,1080,1920,4,2000,16.0,16.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,44.39
Samsung,Galaxy Grand 2,2600,5.2,Yes,720,1280,4,1000,8.0,8.0,1.9,Android,Yes,Yes,Yes,2,Yes,Yes,191.99
Motorola,Moto G,2070,4.5,Yes,720,1280,4,1000,8.0,5.0,1.3,Android,Yes,Yes,Yes,2,Yes,No,119.99
LG,Google Nexus 5,2300,4.95,Yes,1080,1920,4,2000,16.0,8.0,1.3,Android,Yes,Yes,Yes,1,Yes,Yes,144.00
Nokia,Lumia 1520,3400,6.0,Yes,1080,1920,4,2000,32.0,20.0,1.2,Windows,Yes,Yes,Yes,1,Yes,Yes,419.88
Apple,iPhone 5c,1507,4.0,Yes,640,1136,2,1000,8.0,8.0,1.2,iOS,Yes,Yes,Yes,1,Yes,Yes,101.99
Xiaomi,Mi 3,3050,5.0,Yes,1080,1920,4,2000,16.0,13.0,2.0,Android,Yes,Yes,Yes,1,Yes,No,167.99
Samsung,Galaxy Note 3,3200,5.7,Yes,1080,1920,8,3000,32.0,13.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,607.80
Sony,Xperia Z1,3000,5.0,Yes,1080,1920,1,2000,16.0,20.7,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,680.39
LG,G2,3000,5.2,Yes,1080,1920,4,2000,16.0,13.0,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,269.99
Motorola,Moto X,2200,4.7,Yes,720,1280,2,2000,16.0,10.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,180.00
Sony,Xperia Z,2330,5.0,Yes,1080,1920,4,2000,16.0,13.1,2.2,Android,Yes,Yes,Yes,1,Yes,Yes,389.88
Samsung,Galaxy S III,2100,4.8,Yes,720,1280,4,1000,16.0,8.0,1.9,Android,Yes,Yes,Yes,1,Yes,Yes,71.99
Samsung,Galaxy S4,2600,5.0,Yes,1080,1920,8,2000,16.0,13.0,2.0,Android,Yes,Yes,Yes,1,Yes,Yes,694.98
Nokia,Lumia 920,2000,4.5,Yes,768,1280,2,1000,32.0,8.7,1.3,Windows,Yes,Yes,Yes,1,Yes,No,107.99
Oppo,F15,4000,6.4,Yes,1080,2400,8,8000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,224.28
Vivo,S1 Pro,4500,6.38,Yes,1080,2340,8,8000,128.0,48.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,223.19
Motorola,Moto G8 Plus,4000,6.3,Yes,1080,2280,8,4000,64.0,48.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.99
Motorola,One Macro,4000,6.2,Yes,720,1520,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.99
Vivo,U10,5000,6.35,Yes,720,1544,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.88
Xiaomi,Redmi 8A,5000,6.22,Yes,720,1520,8,2000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,77.99
Oppo,A9 2020,5000,6.5,Yes,720,1600,8,4000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,176.76
Samsung,Galaxy M10s,4000,6.4,Yes,720,1520,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.99
Infinix,Hot 8,5000,6.52,Yes,720,1600,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,No,No,96.00
Xiaomi,Redmi Note 8,4000,6.3,Yes,1080,2280,8,3000,32.0,48.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,110.34
Xiaomi,Redmi 8,5000,6.22,Yes,720,1520,8,4000,64.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99
Realme,3i,4230,6.2,Yes,720,1520,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99
Infinix,Hot 7,4000,6.19,Yes,720,1500,8,4000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.88
Honor,9X,4000,6.59,Yes,1080,2340,8,4000,128.0,48.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99
Motorola,One Action,3500,6.3,Yes,1080,2520,8,4000,128.0,12.0,12.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99
LG,W30,4000,6.26,Yes,720,1520,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.99
Infinix,Hot 7 Pro,4000,6.19,Yes,720,1500,8,6000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99
Xiaomi,Redmi 7A,4000,5.45,Yes,720,1440,8,2000,16.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.99
Infinix,S4,4000,6.21,Yes,720,1520,8,3000,32.0,13.0,32.0,Android,Yes,Yes,Yes,2,No,No,95.99
Vivo,Y17,5000,6.35,Yes,720,1544,8,4000,128.0,13.0,20.0,Android,Yes,Yes,Yes,2,No,No,137.88
Infinix,Smart 3 Plus,3500,6.21,Yes,720,1520,4,2000,32.0,13.0,8.0,Android,Yes,Yes,No,2,No,No,83.99
Oppo,A1k,4000,6.1,Yes,720,1560,8,2000,32.0,8.0,5.0,Android,Yes,Yes,No,2,No,No,80.04
Oppo,A5s,4230,6.2,Yes,1520,720,8,2000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.22
Xiaomi,Redmi Y3,4000,6.26,Yes,720,1520,8,3000,32.0,12.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99
Realme,C2,4000,6.1,Yes,720,1560,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99
Honor,20i,3400,6.21,Yes,1080,2340,8,4000,128.0,24.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99
Vivo,S1,4500,6.38,Yes,1080,2340,8,4000,128.0,16.0,32.0,Android,Yes,Yes,Yes,2,No,No,179.75
Realme,3,4230,6.2,Yes,720,1520,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.88
Vivo,V15,4000,6.53,Yes,1080,2340,8,6000,64.0,12.0,32.0,Android,Yes,Yes,Yes,2,Yes,Yes,179.88
Xiaomi,Redmi Go,3000,5.0,Yes,720,1280,4,1000,8.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,53.99
Meizu,M16th,3010,6.0,Yes,1080,2160,8,8000,128.0,12.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,239.88
Asus,ZenFone Max M2,4000,6.26,Yes,720,1520,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.99
Infinix,Note 5 Stylus,4000,5.93,Yes,1080,2160,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,1,No,No,191.99
Infinix,Hot S3X,4000,6.2,Yes,720,1500,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99
Asus,ZenFone Lite L1 (ZA551KL),3000,5.45,Yes,720,1440,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99
Asus,ZenFone Max M1 (ZB556KL),4000,5.45,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,71.99
Lenovo,K9,3000,5.7,Yes,720,1440,8,3000,32.0,13.0,13.0,Android,Yes,Yes,No,1,No,No,70.79
Nokia,3.1 Plus,3500,6.0,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,82.20
Honor,8C,4000,6.26,Yes,720,1520,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99
Panasonic,Eluga X1 Pro,3000,6.18,Yes,1080,2246,8,6000,128.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.99
Realme,C1,4230,6.2,Yes,720,1520,8,2000,16.0,13.0,5.0,Android,Yes,Yes,No,1,No,No,95.88
BlackBerry,KEY2 LE,3000,4.5,Yes,1080,1620,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,275.88
Realme,2,4230,6.2,Yes,720,1520,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.68
Infinix,Note 5,4500,5.99,Yes,1080,2160,8,3000,32.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,70.20
Oppo,F9 Pro,3500,6.3,Yes,1080,2340,8,6000,64.0,16.0,25.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.88
Oppo,F9,3500,6.3,Yes,1080,2340,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.93
Honor,9N,3000,5.84,Yes,1080,2280,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.99
Huawei,Nova 3i,3340,6.3,Yes,1080,2340,8,4000,128.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,263.99
Huawei,Nova 3,3750,6.3,Yes,1080,2340,8,6000,128.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.99
Xiaomi,Redmi 6 Pro,4000,5.84,Yes,1080,2280,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,99.48
Xiaomi,Redmi 6A,3000,5.45,Yes,720,1440,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,68.39
Xiaomi,Redmi Y2,3080,5.99,Yes,720,1440,8,3000,32.0,12.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99
Tecno,Camon iClick,3750,6.0,Yes,720,1440,8,4000,64.0,16.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.04
Xiaomi,Redmi 6,3000,5.45,Yes,720,1440,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,86.16
Samsung,Galaxy J8,3500,6.0,Yes,720,1440,8,4000,64.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,185.99
Samsung,Galaxy J6,3000,5.6,Yes,720,1480,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,113.88
Samsung,Galaxy A6+,3500,6.0,Yes,1080,2220,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,1,No,No,191.99
Motorola,Moto E5 Plus,5000,6.0,Yes,720,1440,8,3000,32.0,12.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,112.79
Nubia,Red Magic,3800,6.0,Yes,1080,2160,8,8000,128.0,24.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,298.32
InFocus,Vision 3 Pro,4000,5.7,Yes,720,1440,8,4000,64.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.88
Itel,S42,3000,5.65,Yes,720,1440,4,3000,16.0,13.0,13.0,Android,Yes,Yes,No,2,Yes,Yes,101.76
Huawei,P20 Lite,3000,5.84,Yes,1080,2280,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,153.60
Vivo,V9,3260,6.3,Yes,1080,2280,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,164.88
Motorola,Moto G6 Play,4000,5.7,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,No,Yes,96.59
Honor,7C,3000,5.99,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,93.59
Motorola,Moto G6,3000,5.7,Yes,1080,2160,8,3000,32.0,12.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,125.99
Smartron,t.phone P,5000,5.2,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,126.00
Oppo,A83,3180,5.7,Yes,720,1440,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,81.59
Honor,9 Lite,3000,5.65,Yes,1080,2160,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.15
10.or,D,3500,5.2,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99
InFocus,Vision 3,4000,5.7,Yes,720,1440,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,82.20
Samsung,Galaxy A8+ (2018),3500,6.0,Yes,1080,2220,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,1,No,No,202.80
Gionee,S11 Lite,3030,5.7,Yes,720,1440,8,4000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,75.83
Vivo,V7,3000,5.7,Yes,720,1440,8,4000,32.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.88
Xiaomi,Redmi Y1,3080,5.5,Yes,720,1280,8,2000,16.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.88
Xiaomi,Redmi 5A,3000,5.0,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,86.39
Honor,7X,3340,5.93,Yes,1080,2160,8,4000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,152.66
Honor,Holly 4,3020,5.0,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.99
Gionee,M7 Power,5000,6.0,Yes,720,1440,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.68
Vivo,V7+,3225,5.99,Yes,720,1440,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.88
Asus,ZenFone 4 Selfie Pro,3000,5.5,Yes,1080,1920,8,4000,64.0,16.0,12.0,Android,Yes,Yes,Yes,2,Yes,Yes,311.99
LG,Q6,3000,5.5,Yes,1080,2160,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.38
Oppo,F3,3200,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.88
Smartron,srt.phone,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99
Vivo,V5s,3000,5.5,Yes,720,1280,8,4000,64.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.88
Micromax,Evok Power,4000,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,No,2,No,Yes,65.99
Lava,Z25,3020,5.5,Yes,720,1280,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.00
Nubia,M2,3630,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.88
Cat,S60,3800,4.7,Yes,720,1280,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.99
Coolpad,Note 5 Lite,2500,5.0,Yes,720,1280,4,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,51.48
Gionee,A1,4010,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99
Sony,Xperia XA1 Ultra,2700,6.0,Yes,1080,1920,8,4000,64.0,23.0,16.0,Android,Yes,Yes,Yes,2,No,Yes,71.93
Sony,Xperia XZs,2900,5.2,Yes,1080,1920,4,4000,32.0,19.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.88
Gionee,A1 Plus,4550,6.0,Yes,1080,1920,8,4000,64.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,11.93
Motorola,Moto G5,2800,5.0,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.40
Honor,8 Lite,3000,5.2,Yes,1080,1920,8,4000,64.0,12.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,179.20
Vivo,V5 Plus,3055,5.5,Yes,1080,1920,8,4000,64.0,16.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,150.00
Nokia,6,3000,5.5,Yes,1080,1920,8,2000,16.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.00
Samsung,Galaxy A7 (2017),3600,5.7,Yes,1080,1920,8,3000,32.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,310.80
Samsung,Galaxy A5 (2017),3000,5.2,Yes,1080,1920,8,3000,32.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,227.99
Coolpad,Note 3S,2500,5.5,Yes,720,1080,8,3000,32.0,13.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,107.88
Oppo,A57,2900,5.2,Yes,720,1280,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.00
Vivo,V5,3000,5.5,Yes,720,1280,8,4000,32.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,198.49
Asus,ZenFone 3 Max (ZC553KL),4100,5.5,Yes,1080,1920,8,2000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,103.19
Lyf,F1,3200,5.5,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,77.99
InFocus,Epic 1,3000,5.5,Yes,1080,1920,10,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99
Honor,6X,3340,5.5,Yes,1080,1920,8,3000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99
Intex,Aqua S7,3200,5.0,Yes,720,1280,1,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.99
Lenovo,P2,5100,5.5,Yes,1080,1920,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99
Lenovo,K6 Note,4000,5.5,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.68
Gionee,S6s,3150,5.5,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.00
Coolpad,Cool 1 Dual,4000,5.5,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,151.67
Oppo,F1s,3075,5.5,Yes,720,1280,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.88
BlackBerry,DTEK50,2610,5.2,Yes,1080,1920,8,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,143.99
Asus,ZenFone 3 Laser,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.99
Lenovo,Phab 2 Plus,4050,6.4,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,119.99
Yu,nicorn,4000,5.5,Yes,1080,1920,8,4000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99
Coolpad,Note 3 Plus,3000,5.5,Yes,1080,1920,8,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,74.99
LeEco,Le 1s Eco,3000,5.5,Yes,1080,1920,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.88
Vivo,V3Max,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.75
Oppo,F1 Plus,2850,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.88
