brand,model,battery_capacity_(mah),screen_size_(inches),touchscreen,resolution_x,resolution_y,processor,ram_(mb),internal_storage_(gb),rear_camera,front_camera,operating_system,wi-fi,bluetooth,gps,number_of_sims,3g,4g/_lte,price,performance_c,cam_c,size_c,battery_t,url
Huawei,P20 Lite,3000,5.84,Yes,1080,2280,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,153.6,3,2,2,2,https://www.amazon.com/s?k=Huawei+P20+Lite
Vivo,V9,3260,6.3,Yes,1080,2280,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,164.88,3,2,2,3,https://www.amazon.com/s?k=Vivo+V9
Motorola,Moto G6 Play,4000,5.7,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,No,2,No,Yes,96.59,2,2,2,3,https://www.amazon.com/s?k=Motorola+Moto+G6+Play
Honor,7C,3000,5.99,Yes,720,1440,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,93.59,2,2,2,2,https://www.amazon.com/s?k=Honor+7C
Motorola,Moto G6,3000,5.7,Yes,1080,2160,8,3000,32.0,12.0,16.0,Android,Yes,Yes,No,2,Yes,Yes,125.99,2,2,2,2,https://www.amazon.com/s?k=Motorola+Moto+G6
Smartron,t.phone P,5000,5.2,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,126.0,2,2,2,4,https://www.amazon.com/s?k=Smartron+t.phone+P
Oppo,A83,3180,5.7,Yes,720,1440,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,81.59,2,2,2,3,https://www.amazon.com/s?k=Oppo+A83
Honor,9 Lite,3000,5.65,Yes,1080,2160,8,3000,32.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.15,2,2,2,2,https://www.amazon.com/s?k=Honor+9+Lite
10.or,D,3500,5.2,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,1,1,1,3,https://www.amazon.com/s?k=10.or+D
InFocus,Vision 3,4000,5.7,Yes,720,1440,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,82.2,1,1,1,3,https://www.amazon.com/s?k=InFocus+Vision+3
Samsung,Galaxy A8+ (2018),3500,6.0,Yes,1080,2220,8,6000,64.0,16.0,16.0,Android,Yes,Yes,Yes,1,No,No,202.8,3,2,2,3,https://www.amazon.com/s?k=Samsung+Galaxy+A8++(2018)
Gionee,S11 Lite,3030,5.7,Yes,720,1440,8,4000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,75.83,3,2,2,3,https://www.amazon.com/s?k=Gionee+S11+Lite
Vivo,V7,3000,5.7,Yes,720,1440,8,4000,32.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.88,3,2,2,2,https://www.amazon.com/s?k=Vivo+V7
Xiaomi,Redmi Y1,3080,5.5,Yes,720,1280,8,2000,16.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.88,2,2,2,3,https://www.amazon.com/s?k=Xiaomi+Redmi+Y1
Xiaomi,Redmi 5A,3000,5.0,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,86.39,1,1,1,2,https://www.amazon.com/s?k=Xiaomi+Redmi+5A
Honor,7X,3340,5.93,Yes,1080,2160,8,4000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,152.66,3,2,2,3,https://www.amazon.com/s?k=Honor+7X
Honor,Holly 4,3020,5.0,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,101.99,2,2,2,3,https://www.amazon.com/s?k=Honor+Holly+4
Gionee,M7 Power,5000,6.0,Yes,720,1440,8,4000,64.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.68,3,2,2,4,https://www.amazon.com/s?k=Gionee+M7+Power
Vivo,V7+,3225,5.99,Yes,720,1440,8,4000,64.0,16.0,24.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.88,3,2,2,3,https://www.amazon.com/s?k=Vivo+V7+
Asus,ZenFone 4 Selfie Pro,3000,5.5,Yes,1080,1920,8,4000,64.0,16.0,12.0,Android,Yes,Yes,Yes,2,Yes,Yes,311.99,3,2,2,2,https://www.amazon.com/s?k=Asus+ZenFone+4+Selfie+Pro
LG,Q6,3000,5.5,Yes,1080,2160,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.38,2,2,2,2,https://www.amazon.com/s?k=LG+Q6
Oppo,F3,3200,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.88,3,2,2,3,https://www.amazon.com/s?k=Oppo+F3
Smartron,srt.phone,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99,3,2,2,2,https://www.amazon.com/s?k=Smartron+srt.phone
Vivo,V5s,3000,5.5,Yes,720,1280,8,4000,64.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.88,3,2,2,2,https://www.amazon.com/s?k=Vivo+V5s
Micromax,Evok Power,4000,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,No,2,No,Yes,65.99,1,1,1,3,https://www.amazon.com/s?k=Micromax+Evok+Power
Lava,Z25,3020,5.5,Yes,720,1280,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.0,3,2,2,3,https://www.amazon.com/s?k=Lava+Z25
Nubia,M2,3630,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.88,3,2,2,3,https://www.amazon.com/s?k=Nubia+M2
Cat,S60,3800,4.7,Yes,720,1280,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,479.99,2,2,2,3,https://www.amazon.com/s?k=Cat+S60
Coolpad,Note 5 Lite,2500,5.0,Yes,720,1280,4,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,51.48,1,1,1,2,https://www.amazon.com/s?k=Coolpad+Note+5+Lite
Gionee,A1,4010,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99,3,2,2,4,https://www.amazon.com/s?k=Gionee+A1
Sony,Xperia XA1 Ultra,2700,6.0,Yes,1080,1920,8,4000,64.0,23.0,16.0,Android,Yes,Yes,Yes,2,No,Yes,71.93,3,2,2,2,https://www.amazon.com/s?k=Sony+Xperia+XA1+Ultra
Sony,Xperia XZs,2900,5.2,Yes,1080,1920,4,4000,32.0,19.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,359.88,1,1,1,2,https://www.amazon.com/s?k=Sony+Xperia+XZs
Gionee,A1 Plus,4550,6.0,Yes,1080,1920,8,4000,64.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,11.93,3,2,2,4,https://www.amazon.com/s?k=Gionee+A1+Plus
Motorola,Moto G5,2800,5.0,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.4,2,2,2,2,https://www.amazon.com/s?k=Motorola+Moto+G5
Honor,8 Lite,3000,5.2,Yes,1080,1920,8,4000,64.0,12.0,8.0,Android,Yes,Yes,No,2,Yes,Yes,179.2,3,2,2,2,https://www.amazon.com/s?k=Honor+8+Lite
Vivo,V5 Plus,3055,5.5,Yes,1080,1920,8,4000,64.0,16.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,150.0,3,2,2,3,https://www.amazon.com/s?k=Vivo+V5+Plus
Nokia,6,3000,5.5,Yes,1080,1920,8,2000,16.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,87.0,2,2,2,2,https://www.amazon.com/s?k=Nokia+6
Samsung,Galaxy A7 (2017),3600,5.7,Yes,1080,1920,8,3000,32.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,310.8,2,2,2,3,https://www.amazon.com/s?k=Samsung+Galaxy+A7+(2017)
Samsung,Galaxy A5 (2017),3000,5.2,Yes,1080,1920,8,3000,32.0,16.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,227.99,2,2,2,2,https://www.amazon.com/s?k=Samsung+Galaxy+A5+(2017)
Coolpad,Note 3S,2500,5.5,Yes,720,1080,8,3000,32.0,13.0,5.0,Android,Yes,Yes,No,2,Yes,Yes,107.88,2,2,2,2,https://www.amazon.com/s?k=Coolpad+Note+3S
Oppo,A57,2900,5.2,Yes,720,1280,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.0,2,2,2,2,https://www.amazon.com/s?k=Oppo+A57
Vivo,V5,3000,5.5,Yes,720,1280,8,4000,32.0,13.0,20.0,Android,Yes,Yes,Yes,2,Yes,Yes,198.49,3,2,2,2,https://www.amazon.com/s?k=Vivo+V5
Asus,ZenFone 3 Max (ZC553KL),4100,5.5,Yes,1080,1920,8,2000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,103.19,2,2,2,4,https://www.amazon.com/s?k=Asus+ZenFone+3+Max+(ZC553KL)
Lyf,F1,3200,5.5,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,77.99,2,2,2,3,https://www.amazon.com/s?k=Lyf+F1
InFocus,Epic 1,3000,5.5,Yes,1080,1920,10,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,131.99,2,2,2,2,https://www.amazon.com/s?k=InFocus+Epic+1
Honor,6X,3340,5.5,Yes,1080,1920,8,3000,32.0,12.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,167.99,2,2,2,3,https://www.amazon.com/s?k=Honor+6X
Intex,Aqua S7,3200,5.0,Yes,720,1280,1,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.99,1,1,1,3,https://www.amazon.com/s?k=Intex+Aqua+S7
Lenovo,P2,5100,5.5,Yes,1080,1920,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99,2,2,2,5,https://www.amazon.com/s?k=Lenovo+P2
Lenovo,K6 Note,4000,5.5,Yes,1080,1920,8,3000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,106.68,2,2,2,3,https://www.amazon.com/s?k=Lenovo+K6+Note
Gionee,S6s,3150,5.5,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,144.0,2,2,2,3,https://www.amazon.com/s?k=Gionee+S6s
Coolpad,Cool 1 Dual,4000,5.5,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,151.67,2,2,2,3,https://www.amazon.com/s?k=Coolpad+Cool+1+Dual
Oppo,F1s,3075,5.5,Yes,720,1280,8,3000,32.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.88,2,2,2,3,https://www.amazon.com/s?k=Oppo+F1s
BlackBerry,DTEK50,2610,5.2,Yes,1080,1920,8,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,143.99,2,2,2,2,https://www.amazon.com/s?k=BlackBerry+DTEK50
Asus,ZenFone 3 Laser,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,65.99,3,2,2,2,https://www.amazon.com/s?k=Asus+ZenFone+3+Laser
Lenovo,Phab 2 Plus,4050,6.4,Yes,1080,1920,8,3000,32.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,119.99,2,2,2,4,https://www.amazon.com/s?k=Lenovo+Phab+2+Plus
Yu,nicorn,4000,5.5,Yes,1080,1920,8,4000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,3,2,2,3,https://www.amazon.com/s?k=Yu+nicorn
Coolpad,Note 3 Plus,3000,5.5,Yes,1080,1920,8,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,74.99,2,2,2,2,https://www.amazon.com/s?k=Coolpad+Note+3+Plus
LeEco,Le 1s Eco,3000,5.5,Yes,1080,1920,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.88,2,2,2,2,https://www.amazon.com/s?k=LeEco+Le+1s+Eco
Vivo,V3Max,3000,5.5,Yes,1080,1920,8,4000,32.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.75,3,2,2,2,https://www.amazon.com/s?k=Vivo+V3Max
Oppo,F1 Plus,2850,5.5,Yes,1080,1920,8,4000,64.0,13.0,16.0,Android,Yes,Yes,Yes,2,Yes,Yes,215.88,3,2,2,2,https://www.amazon.com/s?k=Oppo+F1+Plus
InFocus,Bingo 50,2500,5.0,Yes,720,1280,4,3000,16.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.88,1,1,1,2,https://www.amazon.com/s?k=InFocus+Bingo+50
Lenovo,Vibe K5,2750,5.0,Yes,720,1280,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,71.99,2,2,2,2,https://www.amazon.com/s?k=Lenovo+Vibe+K5
Lenovo,Vibe K5 Plus,2750,5.0,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,95.99,2,2,2,2,https://www.amazon.com/s?k=Lenovo+Vibe+K5+Plus
Xolo,Era 4K,4000,5.0,Yes,720,1280,4,2000,8.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,1,1,1,3,https://www.amazon.com/s?k=Xolo+Era+4K
LG,X screen,2300,4.93,Yes,720,1280,4,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,1,Yes,Yes,95.88,1,1,1,2,https://www.amazon.com/s?k=LG+X+screen
Coolpad,Note 3 Lite,2500,5.0,Yes,720,1280,4,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,1,1,1,2,https://www.amazon.com/s?k=Coolpad+Note+3+Lite
Lenovo,Vibe K4 Note,3300,5.5,Yes,1080,1920,8,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,107.88,2,2,2,3,https://www.amazon.com/s?k=Lenovo+Vibe+K4+Note
Gionee,Marathon M5 Plus,5020,6.0,Yes,1080,1920,8,3000,64.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,286.8,3,2,2,5,https://www.amazon.com/s?k=Gionee+Marathon+M5+Plus
Intex,Aqua GenX,2850,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,115.56,2,2,2,2,https://www.amazon.com/s?k=Intex+Aqua+GenX
Yu,topia,3000,5.2,Yes,1440,2560,8,4000,32.0,21.0,8.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,359.99,3,2,2,2,https://www.amazon.com/s?k=Yu+topia
InFocus,M680,2600,5.5,Yes,1080,1920,8,2000,16.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.88,2,2,2,2,https://www.amazon.com/s?k=InFocus+M680
Gionee,Marathon M5 Lite,4000,5.0,Yes,720,1280,4,3000,32.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,89.99,1,1,1,3,https://www.amazon.com/s?k=Gionee+Marathon+M5+Lite
Gionee,S6,3150,5.5,Yes,720,1280,8,3000,32.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,191.98,2,2,2,3,https://www.amazon.com/s?k=Gionee+S6
Motorola,Moto G Turbo Edition,2470,5.0,Yes,720,1280,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99,2,2,2,2,https://www.amazon.com/s?k=Motorola+Moto+G+Turbo+Edition
Micromax,Canvas 5,2900,5.2,Yes,1080,1920,8,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,81.6,2,2,2,2,https://www.amazon.com/s?k=Micromax+Canvas+5
Honor,5X,3000,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,88.8,2,2,2,2,https://www.amazon.com/s?k=Honor+5X
Coolpad,Note 3,3000,5.5,Yes,720,1280,8,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,113.99,2,2,2,2,https://www.amazon.com/s?k=Coolpad+Note+3
HTC,One E9s Dual SIM,2600,5.5,Yes,720,1280,8,2000,16.0,13.0,4.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,2,2,2,2,https://www.amazon.com/s?k=HTC+One+E9s+Dual+SIM
Yu,nique,2000,4.7,Yes,720,1280,4,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,56.34,1,1,1,1,https://www.amazon.com/s?k=Yu+nique
Sony,Xperia Z5 Dual,2900,5.2,Yes,1080,1920,8,3000,32.0,23.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,551.99,2,2,2,2,https://www.amazon.com/s?k=Sony+Xperia+Z5+Dual
Acer,Liquid Z630s,4000,5.5,Yes,720,1280,8,3000,32.0,8.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,86.28,2,2,2,3,https://www.amazon.com/s?k=Acer+Liquid+Z630s
Xiaomi,Redmi 2 Prime,2200,4.7,Yes,720,1280,4,2000,16.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,83.99,1,1,1,2,https://www.amazon.com/s?k=Xiaomi+Redmi+2+Prime
Asus,ZenFone Max,5000,5.5,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,1,1,1,4,https://www.amazon.com/s?k=Asus+ZenFone+Max
Asus,ZenFone 2 Deluxe,3000,5.5,Yes,1080,1920,4,4000,64.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,203.99,3,2,2,2,https://www.amazon.com/s?k=Asus+ZenFone+2+Deluxe
Gionee,Marathon M4,5000,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,52.8,1,1,1,4,https://www.amazon.com/s?k=Gionee+Marathon+M4
Asus,ZenFone 2 Laser (ZE550KL),3000,5.5,Yes,720,1280,4,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,155.99,1,1,1,2,https://www.amazon.com/s?k=Asus+ZenFone+2+Laser+(ZE550KL)
Motorola,Moto X Style,3000,5.7,Yes,1440,2560,6,3000,16.0,21.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,251.99,2,2,2,2,https://www.amazon.com/s?k=Motorola+Moto+X+Style
InFocus,M812,2900,5.5,Yes,1080,1920,4,3000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,94.99,1,1,1,2,https://www.amazon.com/s?k=InFocus+M812
Xolo,Black,3200,5.5,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,143.23,2,2,2,3,https://www.amazon.com/s?k=Xolo+Black
Phicomm,Passion 660,2300,5.0,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,38.86,2,2,2,2,https://www.amazon.com/s?k=Phicomm+Passion+660
Coolpad,Dazen X7,2700,5.2,Yes,1080,1920,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,59.99,2,2,2,2,https://www.amazon.com/s?k=Coolpad+Dazen+X7
Yu,phoria,2230,5.0,Yes,720,1280,4,2000,16.0,8.0,5.0,Cyanogen,Yes,Yes,Yes,2,Yes,Yes,107.99,1,1,1,2,https://www.amazon.com/s?k=Yu+phoria
Honor,4C,2550,5.0,Yes,720,1280,8,2000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,107.99,2,2,2,2,https://www.amazon.com/s?k=Honor+4C
Lenovo,A6000 Plus,2300,5.0,Yes,720,1280,4,2000,16.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,76.79,1,1,1,2,https://www.amazon.com/s?k=Lenovo+A6000+Plus
Lenovo,A7000,2900,5.5,Yes,720,1280,8,2000,8.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,79.99,2,2,2,2,https://www.amazon.com/s?k=Lenovo+A7000
Motorola,Moto E (Gen 2),2390,4.5,Yes,540,960,4,1000,8.0,5.0,0.3,Android,Yes,Yes,Yes,1,Yes,No,59.99,1,1,1,2,https://www.amazon.com/s?k=Motorola+Moto+E+(Gen+2)
HTC,Desire 526G+ Dual SIM,2000,4.7,Yes,540,960,8,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,108.0,2,2,2,1,https://www.amazon.com/s?k=HTC+Desire+526G++Dual+SIM
Lenovo,A6000,2300,5.0,Yes,720,1280,4,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,60.0,1,1,1,2,https://www.amazon.com/s?k=Lenovo+A6000
Asus,ZenFone Zoom,3000,5.5,Yes,1080,1920,4,4000,64.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,191.99,3,2,2,2,https://www.amazon.com/s?k=Asus+ZenFone+Zoom
Xiaomi,Redmi 2,2200,4.7,Yes,720,1280,4,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,Yes,64.79,1,1,1,2,https://www.amazon.com/s?k=Xiaomi+Redmi+2
Lava,Iris Fuel 60,4000,5.0,Yes,720,1280,4,1000,8.0,10.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,51.59,1,1,1,3,https://www.amazon.com/s?k=Lava+Iris+Fuel+60
Vivo,Y15,1900,4.5,Yes,480,854,4,512,4.0,5.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,78.47,1,1,1,1,https://www.amazon.com/s?k=Vivo+Y15
Micromax,Canvas Selfie,2300,4.7,Yes,720,1280,8,2000,16.0,13.0,13.0,Android,Yes,Yes,Yes,2,Yes,No,166.74,2,2,2,2,https://www.amazon.com/s?k=Micromax+Canvas+Selfie
Honor,4X,3000,5.5,Yes,720,1280,4,2000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,119.99,1,1,1,2,https://www.amazon.com/s?k=Honor+4X
Xolo,Q2100,2800,5.5,Yes,720,1280,4,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,83.98,1,1,1,2,https://www.amazon.com/s?k=Xolo+Q2100
Micromax,Canvas 4 Plus,2000,5.0,Yes,720,1280,8,1000,16.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,65.88,2,2,2,1,https://www.amazon.com/s?k=Micromax+Canvas+4+Plus
Micromax,Canvas A1,1700,4.5,Yes,480,854,4,1000,4.0,5.0,2.4,Android,Yes,Yes,Yes,2,Yes,No,57.54,1,1,1,1,https://www.amazon.com/s?k=Micromax+Canvas+A1
Karbonn,Sparkle V,1700,4.5,No,480,854,4,1000,4.0,5.0,2.4,Android,Yes,Yes,Yes,2,Yes,No,34.79,1,1,1,1,https://www.amazon.com/s?k=Karbonn+Sparkle+V
Spice,Dream Uno,1700,4.5,No,480,854,4,1000,4.0,5.0,2.4,Android,Yes,Yes,Yes,2,Yes,No,89.88,1,1,1,1,https://www.amazon.com/s?k=Spice+Dream+Uno
Micromax,Canvas Nitro,2500,5.0,Yes,720,1280,8,2000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,59.99,2,2,2,2,https://www.amazon.com/s?k=Micromax+Canvas+Nitro
Nokia,Lumia 830,2200,5.0,Yes,720,1280,4,1000,16.0,10.0,0.9,Windows,Yes,Yes,Yes,1,Yes,Yes,239.99,1,1,1,2,https://www.amazon.com/s?k=Nokia+Lumia+830
HTC,Desire 820,2600,5.5,Yes,720,1280,8,2000,16.0,13.0,8.0,Android,Yes,Yes,Yes,2,Yes,Yes,311.99,2,2,2,2,https://www.amazon.com/s?k=HTC+Desire+820
Samsung,Galaxy Alpha,1860,4.7,Yes,720,1280,8,2000,32.0,12.0,2.1,Android,Yes,Yes,Yes,1,Yes,Yes,119.99,2,2,2,1,https://www.amazon.com/s?k=Samsung+Galaxy+Alpha
Xolo,8X-1000,1920,5.0,Yes,720,1280,8,2000,16.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,65.99,2,2,2,1,https://www.amazon.com/s?k=Xolo+8X-1000
Spice,Stellar 520,2000,5.0,Yes,720,1280,4,1000,4.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,59.99,1,1,1,1,https://www.amazon.com/s?k=Spice+Stellar+520
Xiaomi,Redmi 1S,2000,4.7,Yes,720,1280,4,1000,8.0,8.0,1.6,Android,Yes,Yes,Yes,2,Yes,No,71.99,1,1,1,1,https://www.amazon.com/s?k=Xiaomi+Redmi+1S
Honor,6,3000,5.0,Yes,1080,1920,8,3000,16.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,Yes,179.99,2,2,2,2,https://www.amazon.com/s?k=Honor+6
Oppo,N1 Mini,2140,5.0,Yes,720,1280,4,2000,16.0,13.0,0.0,Android,Yes,Yes,Yes,1,Yes,Yes,119.88,1,1,1,2,https://www.amazon.com/s?k=Oppo+N1+Mini
Xolo,Q1200,2000,5.0,Yes,720,1280,4,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,1,Yes,No,164.0,1,1,1,1,https://www.amazon.com/s?k=Xolo+Q1200
Panasonic,P81,2500,5.5,Yes,720,1280,8,1000,8.0,13.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,142.8,2,2,2,2,https://www.amazon.com/s?k=Panasonic+P81
Motorola,Moto E,1980,4.3,Yes,540,960,2,1000,4.0,5.0,0.0,Android,Yes,Yes,Yes,2,Yes,No,59.99,1,1,1,1,https://www.amazon.com/s?k=Motorola+Moto+E
Oppo,R1,2410,5.0,Yes,720,1280,4,1000,16.0,8.0,5.0,Android,Yes,Yes,Yes,2,Yes,No,140.82,1,1,1,2,https://www.amazon.com/s?k=Oppo+R1
Xolo,Q1010i,2250,5.0,Yes,720,1280,4,1000,8.0,8.0,2.0,Android,Yes,Yes,Yes,2,Yes,No,163.27,1,1,1,2,https://www.amazon.com/s?k=Xolo+Q1010i
Micromax,Canvas Knight,2350,5.0,Yes,1080,1920,8,2000,32.0,16.0,8.0,Android,Yes,Yes,Yes,2,Yes,No,71.99,2,2,2,2,https://www.amazon.com/s?k=Micromax+Canvas+Knight
HTC,Desire 816,2600,5.5,Yes,720,1280,4,1000,8.0,13.0,5.0,Android,Yes,Yes,Yes,2,Yes,Yes,328.68,1,1,1,2,https://www.amazon.com/s?k=HTC+Desire+816
Nokia,X Dual SIM,1500,4.0,Yes,480,800,2,512,4.0,3.0,0.0,Cyanogen,Yes,Yes,Yes,2,Yes,No,95.99,1,1,1,1,https://www.amazon.com/s?k=Nokia+X+Dual+SIM
Lenovo,S660,3000,4.7,Yes,540,960,4,1000,8.0,8.0,0.3,Android,Yes,Yes,Yes,2,Yes,No,80.4,1,1,1,2,https://www.amazon.com/s?k=Lenovo+S660
Gionee,Elife S5.5,2300,5.0,Yes,1080,1920,8,2000,16.0,13.0,5.0,Android,Yes,Yes,Yes,1,Yes,No,131.99,2,2,2,2,https://www.amazon.com/s?k=Gionee+Elife+S5.5
